GAME DESIGN DOCUMENT - DOTSLINK
Game Element Details (Chi tiết Yếu tố Trò Chơi)
================================================================================

Tên,Mô Tả,Chức Năng Chính,Note,IMG
Highlight (Tô Sáng),Một hình vuông semi-transparent đi theo chuột,"Cho người chơi thấy đang kết nối từ node nào đến node nào","- SpriteRenderer với alpha = 0.4f (40% trong suốt)
- Size = gridSize / 4
- Màu = Node color được chọn
- Follow mouse position real-time",highlight.png

================================================================================

COLORS (HỆ THỐNG MÀU)

NodeColors List,Danh sách các màu có sẵn cho nodes,"Cung cấp bộ màu để tô cho tất cả nodes","- List<Color> lưu trong GameplayManager
- Mỗi nodes được gán 1 colorId
- Nếu colorId > Count: dùng modulo (colorId % Count)",colors.png

Color Assignment,Gán màu cho node dựa vào colorId,"Xác định màu hiển thị dựa trên ID","- ActualColor = NodeColors[colorId % NodeColors.Count]
- Tất cả nodes với cùng colorId sẽ cùng màu",color_assign.png

Highlight Color,Màu tô sáng khi chọn node,"Hiển thị visual feedback khi người chơi chọn node","- Dựa trên Node color
- Alpha = 0.4f (bán trong suốt)
- Giúp phân biệt node đang chọn",highlight_color.png

================================================================================

LEVEL STRUCTURE (CẤU TRÚC CẤP ĐỘ)

Stage (Giai Đoạn),Một nhóm 50 levels có cùng kích thước bảng,"Chia game thành 7 giai đoạn tăng độ khó dần","- Tổng 7 stages
- Mỗi stage = 50 levels
- Sau stage 7 → quay lại stage 1",stage.png

Level (Cấp Độ),Một trò chơi đơn lẻ với cấu hình bảng riêng,"Là bài tập cụ thể mà người chơi phải hoàn thành","- Cấu hình: LevelXY (X=Stage, Y=Level)
- Ví dụ: Level11, Level25, Level750
- Tổng: 350 levels",level.png

LevelData (Dữ Liệu Cấp Độ),ScriptableObject chứa config của level,"Lưu trữ tất cả thông tin cần để render level","- Tên: LevelName (string)
- Edges: List<Edge> (tất cả đường)
- Lưu ở: Assets/Common/Prefabs/Levels/",leveldata.png

Edge List,Danh sách tất cả đường (pair của màu) trong level,"Định nghĩa các cặp điểm cần kết nối","- Mỗi Edge chứa Points (list tọa độ)
- StartPoint & EndPoint xác định 2 nút kết thúc
- Số Edge = số cặp màu",edges_list.png

================================================================================

GAME ELEMENTS - TƯƠNG TÁC

Node Click Highlight (Vùng Tô Sáng Khi Nhấn),Vùng hình vuông semi-transparent theo con trỏ,"Giúp người chơi biết đang chọn node nào và hướng kết nối","- Xuất hiện khi mouse button được giữ
- Di chuyển theo chuột
- Biến mất khi thả chuột",click_highlight.png

Connection Update (Cập Nhật Kết Nối),Quá trình xử lý khi người chơi kết nối 2 nodes,"Thực thi tất cả logic kiểm tra và cập nhật đường","- Kiểm tra neighbor hợp lệ
- Kiểm tra overlapping
- Kiểm tra degree-3
- Tự động xóa đường vi phạm",update.png

Path Validation (Kiểm Tra Đường Dẫn),Quá trình xác thực đường có hợp lệ không,"Đảm bảo tất cả đường tuân theo luật chơi","- Check neighbor
- Check color match
- Check degree constraints
- Check end-node connectivity",validation.png

Automatic Deletion (Xóa Tự Động),Tự động xóa đường khi vi phạm luật,"Dọn dẹp đường không hợp lệ khỏi bảng","- Xóa khi degree > 2
- Xóa khi tạo degree-3
- Xóa khi khác màu
- Xóa khi orphaned (mất kết nối)",deletion.png

Win Highlight (Tô Sáng Thắng),Highlight tất cả đường khi hoàn thành level,"Cho người chơi thấy rõ tất cả đường đã hoàn thành","- Gọi SolveHighlight() cho tất cả nodes
- Hiển thị alpha = 0.4f
- Giữ highlight cho đến khi Next Level",win_highlight.png

================================================================================

UI ELEMENTS (PHẦN TỬ GIAO DIỆN)

Main Menu Panel,Panel hiển thị menu chính,"Khởi động trò chơi, cho người chơi bắt đầu","- Chứa tiêu đề game
- Nút Play để vào game
- Background theme chính",main_menu.png

Stage Panel,Panel cho người chơi chọn stage,"Hiển thị 7 stages, mỗi stage có nút để chọn","- 7 nút (Stage 1-7)
- Mỗi nút là 1 màu
- Unlock status check",stage_panel.png

Level Panel,Panel cho người chơi chọn level trong stage,"Hiển thị 50 levels, kiểm tra unlock status","- 50 nút (Level 1-50)
- Xám nếu locked, sáng nếu unlocked
- Click mở level",level_panel.png

Title Text,Text hiển thị tên stage và số level hiện tại,"Cho người chơi biết đang chơi cấp nào","- Format: Stage X - Level Y
- Cập nhật mỗi lần load level
- TextMeshPro render",title_text.png

Win Text,Text hiển thị khi người chơi thắng,"Thông báo chiến thắng","- Văn bản: YOU WIN! hoặc similar
- Ẩn mặc định
- Hiển thị khi CheckWin() = true",win_text.png

Back Button,Nút quay lại menu trước đó,"Cho người chơi quay lại Main Menu hoặc Level Select","- Từ Gameplay: về Level Select
- Từ Level Select: về Stage Select
- Từ Stage Select: về Main Menu",back_button.png

Restart Button,Nút khởi động lại level hiện tại,"Cho phép người chơi reset bảng và chơi lại","- Giữ nguyên Level
- Clear tất cả paths
- Reload board",restart_button.png

Next Level Button,Nút để vào level tiếp theo,"Tiếp tục chơi sau khi thắng","- Chỉ bật khi hasGameFinished = true
- Load level tiếp theo
- Tắt nếu chưa thắng",next_button.png

================================================================================

GAME DATA STRUCTURES (CẤU TRÚC DỮ LIỆU)

GameManager,Quản lý trạng thái game toàn cục,"Lưu stage/level hiện tại, quản lý scene, level unlock","- Singleton pattern
- DontDestroyOnLoad
- Quản lý level progression",game_manager.png

GameplayManager,Quản lý gameplay trong level,"Spawn board, spawn nodes, handle input, check win","- Singleton pattern
- Đồng bộ với GameManager
- Xử lý tất cả logic chơi",gameplay_manager.png

Node Class,Đại diện 1 nút trên bảng,"Lưu trạng thái node, xử lý kết nối, kiểm tra win condition","- GameObject component
- Chứa logic UpdateInput
- Chứa logic SolveHighlight",node_class.png

Edge Struct,Cấu trúc dữ liệu đường kết nối,"Lưu danh sách ô của đường, xác định start/end","- Serializable struct
- Tự tính StartPoint & EndPoint
- Lưu trong LevelData",edge_struct.png

LevelData Class,ScriptableObject lưu level config,"Chứa LevelName và danh sách Edges","- CreateAssetMenu cho editor
- Lưu ở Assets/Common/Prefabs/Levels/
- Load bởi GameManager",leveldata_class.png

MainMenuManager,Quản lý Menu UI,"Điều khiển panels (Title/Stage/Level)","- Singleton pattern
- Xử lý button clicks
- Quản lý navigation",menu_manager.png

================================================================================

LEVEL GENERATION (HỆ THỐNG TẠO LEVEL)

GraphRandom Algorithm,Thuật toán tạo level dựa trên graph,"Sinh random level hợp lệ","- Main generation method
- Path-based creation
- Recursive backtracking",algo_graph.png

LevelGenerator,Hệ thống tạo & lưu levels,"Điều khiển quá trình generation, output LevelData","- Render grid
- Xác thực solutions
- Lưu ScriptableObjects",level_gen.png

GridData,Đại diện grid trong quá trình generation,"Lưu 2D array của cell values, quản lý paths","- int[,] grid
- List<Edge> Edges
- ColorId tracking",griddata.png

GridNode,Tree node cho generation algorithm,"Liên kết các state trong quá trình tìm solution","- Prev & Data properties
- Next() cho traversal
- Backtracking support",gridnode.png

================================================================================

GAME SYSTEMS (HỆ THỐNG TRLL CHƠI)

Input System (Hệ Thống Nhập Liệu),Xử lý tương tác chuột,"Raycast tìm node, kiểm tra valid connections","- MouseButton Input
- Raycast hit detection
- Real-time feedback",input_system.png

Connection Logic (Logic Kết Nối),Xử lý khi người chơi kết nối 2 nodes,"Kiểm tra luật, update paths, auto-delete invalid","- UpdateInput() method
- Multi-step validation
- Degree checking",connection_logic.png

Path Validation (Kiểm Tra Đường),Xác thực tính hợp lệ của đường,"Ensure paths follow all rules","- Neighbor check
- Color match check
- Degree constraints
- Connectivity check",path_valid.png

Win Check System (Hệ Thống Kiểm Thắng),Xác định khi nào người chơi thắng,"Kiểm tra IsWin của tất cả nodes","- SolveHighlight() all nodes
- AND check tất cả IsWin
- Unlock next level
- Show win screen",win_check.png

Deletion System (Hệ Thống Xóa),Tự động xóa đường vi phạm,"DeleteNode() + cleanup logic","- Cascade deletion
- Orphan detection
- Chain pruning",deletion_system.png

Save System (Hệ Thống Lưu),Lưu tiến độ người chơi,"PlayerPrefs cho level unlock status","- Per-level save
- Persistent across sessions
- Level naming convention",save_system.png

================================================================================

VISUAL COMPONENTS (THÀNH PHẦN HÌNH ẢNH)

Board SpriteRenderer,Render bảng ngoài cùng,"Tạo khung cho tất cả nodes","- White/Gray color
- Size = gridSize + 0.08
- Z-order: background",board_sprite.png

Background Grid,Tập hợp background cells,"Tạo lưới visual cho người chơi","- Grid của cells
- Each cell 1×1 unit
- Nhạt màu",bg_grid.png

Node Points,Render các End Nodes,"Hiển thị điểm đầu/cuối màu","- SpriteRenderer component
- Scale nhỏ, nổi bật
- Colored theo colorId",node_points.png

Node Edges,Render các kết nối giữa nodes,"Hiển thị đường nối","- 4 sprites (Up/Down/Left/Right)
- Thin line style
- Colored theo path color",node_edges.png

Node Highlight,Highlight khi node được chọn,"Tô sáng node đang chọn","- GameObject _highLight
- SpriteRenderer with alpha
- Active = completed path",node_highlight.png

Click Highlight,Theo dõi con trỏ chuột,"Hiển thị hướng kết nối hiện tại","- Semi-transparent circle
- Follow mouse
- Change color theo node selected",click_highlight_sprite.png

================================================================================

AUDIO ELEMENTS (THÀNH PHẦN ÂM THANH - GỢI Ý MỞ RỘNG)

Background Music,Nhạc nền cho trò chơi,"Tạo không khí relax","- Loop continuous
- Adjustable volume
- Stage-specific themes (gợi ý)",bgm.png

Connection SFX,Âm thanh khi kết nối thành công,"Feedback khi đường được tạo","- Short beep
- Pitch vary by color
- Play on AddEdge()",sfx_connect.png

Wrong Move SFX,Âm thanh khi kết nối sai,"Phản hồi khi violation","- Error sound
- Play on violation
- Warn player",sfx_wrong.png

Win Sound,Âm thanh khi thắng,"Celebrate victory","- Triumphant sound
- Play on CheckWin() = true
- Confetti (animation)",sfx_win.png

Deletion SFX,Âm thanh khi xóa đường,"Feedback khi đường bị xóa","- Whoosh sound
- Play on DeleteNode()
- Indicate cleanup",sfx_delete.png

================================================================================

ANIMATION ELEMENTS (THÀNH PHẦN ANIMATION - GỢI Ý MỞ RỘNG)

Path Drawing Animation,Vẽ đường liên tục theo thời gian,"Hiệu ứng vẽ smooth khi kết nối","- Line renderer animation
- Ease-in/out timing
- Particle effects (gợi ý)",anim_path.png

Node Pop In,Node xuất hiện với animation,"Hiệu ứng khi spawn board","- Scale from 0 → 1
- Rotation (gợi ý)
- Stagger delay",anim_pop.png

Win Celebration,Animation khi thắng,"Highlight & confetti","- All paths glow
- Particle burst
- Screen shake (gợi ý)",anim_win.png

Button Feedback,Animation nút khi click,"Visual response","- Scale down/up
- Color change
- Sound sync",anim_button.png

================================================================================

FUTURE EXPANSION ELEMENTS (THÀNH PHẦN MỞ RỘNG TƯƠNG LAI)

Power-Up (Undo),Quay lại nước đi trước,"Cho phép undo lần di chuyển gần nhất","- Store move history
- Limited uses (3-5 per level)
- Visual indicator",powerup_undo.png

Power-Up (Hint),Gợi ý 1 nước đi đúng,"Hiện 1 đường dẫn đúng","- Highlight 1 valid path
- Limited uses
- Cost: time penalty (gợi ý)",powerup_hint.png

Power-Up (Bomb),Xóa area cụ thể,"Clear vùng ngoài đáp án","- Select circle area
- Delete paths in area
- Limited uses",powerup_bomb.png

Time Attack Mode,Chơi với thời gian giới hạn,"Score based on completion time","- Timer countdown
- Leaderboard integration
- Difficulty scaling",timeattack.png

Daily Challenge,1 puzzle mới mỗi ngày,"Keep players engaged daily","- Special rewards
- Unique levelsets
- Rotation schedule",daily_challenge.png

Score System,Tính điểm cho player,"Dựa trên moves, time, efficiency","- Points = (moves_optimal / moves_used) × 100
- Bonus for speed
- Grade: S/A/B/C",score_system.png

Leaderboard,Xếp hạng online,"So sánh với players khác","- Cloud-based
- Per-stage ranking
- Global & friends rank",leaderboard.png

Level Editor,Tạo level custom,"Community-made levels","- Drag-drop interface
- Validation system
- Sharing mechanics",level_editor.png

================================================================================

SUMMARY TABLE (BẢNG TÓMT TẮT)

Element Category,Count,Total Elements,Purpose
Nodes,3,3,Core gameplay objects
Edges,Varied,50-100 per level,Paths to complete
UI Panels,3,3,Menu navigation
UI Buttons,4,4,Player interaction
Managers,4,4,Game systems
Visual Components,6,6,Rendering
Audio (Future),5,5,Feedback & immersion
Animations (Future),4,4,Visual polish
Power-ups (Future),5,5,Gameplay variety
External Systems,3,3,Progression & social

================================================================================
END OF GAME ELEMENTS DOCUMENTATION
================================================================================
